patch_id,logical_owner,logical_owner_host,logical_owner_username,submit_account,submit_host,submit_username,reason
R01C01,乌镇9259,scnet-wuzhen-9259,acnqt6koeq,乌镇1850,scnet-wuzhen-1850,acf9hhlwmd,logical owner不可用，转移至当前最少patch的可用账号
R01C02,乌镇1352,scnet-wuzhen-1352,acm83pfnji,乌镇1352,scnet-wuzhen-1352,acm83pfnji,logical owner可用
R01C03,乌镇1850,scnet-wuzhen-1850,acf9hhlwmd,乌镇1850,scnet-wuzhen-1850,acf9hhlwmd,logical owner可用
R01C04,乌镇1555,scnet-wuzhen-1555,ac4wf1cvxp,乌镇1555,scnet-wuzhen-1555,ac4wf1cvxp,logical owner可用
R01C05,乌镇1872,scnet-wuzhen-1872,acjpoxgsdu,乌镇1872,scnet-wuzhen-1872,acjpoxgsdu,logical owner可用
R01C06,乌镇9259,scnet-wuzhen-9259,acnqt6koeq,乌镇1731,scnet-wuzhen-1731,ac2k2a2td1,logical owner不可用，转移至当前最少patch的可用账号
R01C07,乌镇1500,scnet-wuzhen-1500,acp6varuz3,乌镇1500,scnet-wuzhen-1500,acp6varuz3,logical owner可用
R01C08,乌镇1731,scnet-wuzhen-1731,ac2k2a2td1,乌镇1731,scnet-wuzhen-1731,ac2k2a2td1,logical owner可用
R01C09,乌镇151,scnet-wuzhen-151,acw4hq2non,乌镇1872,scnet-wuzhen-1872,acjpoxgsdu,logical owner不可用，转移至当前最少patch的可用账号
R01C10,乌镇1872,scnet-wuzhen-1872,acjpoxgsdu,乌镇1872,scnet-wuzhen-1872,acjpoxgsdu,logical owner可用
R01C11,乌镇1555,scnet-wuzhen-1555,ac4wf1cvxp,乌镇1555,scnet-wuzhen-1555,ac4wf1cvxp,logical owner可用
R01C12,乌镇151,scnet-wuzhen-151,acw4hq2non,乌镇1352,scnet-wuzhen-1352,acm83pfnji,logical owner不可用，转移至当前最少patch的可用账号
R02C01,乌镇1872,scnet-wuzhen-1872,acjpoxgsdu,乌镇1872,scnet-wuzhen-1872,acjpoxgsdu,logical owner可用
R02C02,乌镇173,scnet-wuzhen-173,acrxpqssp4,乌镇1500,scnet-wuzhen-1500,acp6varuz3,logical owner不可用，转移至当前最少patch的可用账号
R02C03,乌镇1872,scnet-wuzhen-1872,acjpoxgsdu,乌镇1872,scnet-wuzhen-1872,acjpoxgsdu,logical owner可用
R02C04,乌镇173,scnet-wuzhen-173,acrxpqssp4,乌镇1850,scnet-wuzhen-1850,acf9hhlwmd,logical owner不可用，转移至当前最少patch的可用账号
R02C05,乌镇1500,scnet-wuzhen-1500,acp6varuz3,乌镇1500,scnet-wuzhen-1500,acp6varuz3,logical owner可用
R02C06,乌镇1731,scnet-wuzhen-1731,ac2k2a2td1,乌镇1731,scnet-wuzhen-1731,ac2k2a2td1,logical owner可用
R02C07,乌镇1850,scnet-wuzhen-1850,acf9hhlwmd,乌镇1850,scnet-wuzhen-1850,acf9hhlwmd,logical owner可用
R02C08,乌镇9359,scnet-wuzhen-9359,ac6xcutdaj,乌镇1555,scnet-wuzhen-1555,ac4wf1cvxp,logical owner不可用，转移至当前最少patch的可用账号
R02C09,乌镇1850,scnet-wuzhen-1850,acf9hhlwmd,乌镇1850,scnet-wuzhen-1850,acf9hhlwmd,logical owner可用
R02C10,乌镇1352,scnet-wuzhen-1352,acm83pfnji,乌镇1352,scnet-wuzhen-1352,acm83pfnji,logical owner可用
R02C11,乌镇1555,scnet-wuzhen-1555,ac4wf1cvxp,乌镇1555,scnet-wuzhen-1555,ac4wf1cvxp,logical owner可用
R02C12,乌镇173,scnet-wuzhen-173,acrxpqssp4,乌镇1352,scnet-wuzhen-1352,acm83pfnji,logical owner不可用，转移至当前最少patch的可用账号
R03C03,乌镇151,scnet-wuzhen-151,acw4hq2non,乌镇1731,scnet-wuzhen-1731,ac2k2a2td1,logical owner不可用，转移至当前最少patch的可用账号
R03C04,乌镇1555,scnet-wuzhen-1555,ac4wf1cvxp,乌镇1555,scnet-wuzhen-1555,ac4wf1cvxp,logical owner可用
R03C05,乌镇1872,scnet-wuzhen-1872,acjpoxgsdu,乌镇1872,scnet-wuzhen-1872,acjpoxgsdu,logical owner可用
R03C06,乌镇1352,scnet-wuzhen-1352,acm83pfnji,乌镇1352,scnet-wuzhen-1352,acm83pfnji,logical owner可用
R03C07,乌镇1500,scnet-wuzhen-1500,acp6varuz3,乌镇1500,scnet-wuzhen-1500,acp6varuz3,logical owner可用
R03C08,乌镇1731,scnet-wuzhen-1731,ac2k2a2td1,乌镇1731,scnet-wuzhen-1731,ac2k2a2td1,logical owner可用
R03C09,乌镇1352,scnet-wuzhen-1352,acm83pfnji,乌镇1352,scnet-wuzhen-1352,acm83pfnji,logical owner可用
R03C10,乌镇1731,scnet-wuzhen-1731,ac2k2a2td1,乌镇1731,scnet-wuzhen-1731,ac2k2a2td1,logical owner可用
R03C11,乌镇9359,scnet-wuzhen-9359,ac6xcutdaj,乌镇1500,scnet-wuzhen-1500,acp6varuz3,logical owner不可用，转移至当前最少patch的可用账号
R04C04,乌镇1731,scnet-wuzhen-1731,ac2k2a2td1,乌镇1731,scnet-wuzhen-1731,ac2k2a2td1,logical owner可用
R04C05,乌镇1500,scnet-wuzhen-1500,acp6varuz3,乌镇1500,scnet-wuzhen-1500,acp6varuz3,logical owner可用
R04C07,乌镇1555,scnet-wuzhen-1555,ac4wf1cvxp,乌镇1555,scnet-wuzhen-1555,ac4wf1cvxp,logical owner可用
R04C08,乌镇1500,scnet-wuzhen-1500,acp6varuz3,乌镇1500,scnet-wuzhen-1500,acp6varuz3,logical owner可用
R04C10,乌镇9359,scnet-wuzhen-9359,ac6xcutdaj,乌镇1850,scnet-wuzhen-1850,acf9hhlwmd,logical owner不可用，转移至当前最少patch的可用账号
R04C11,乌镇9259,scnet-wuzhen-9259,acnqt6koeq,乌镇1850,scnet-wuzhen-1850,acf9hhlwmd,logical owner不可用，转移至当前最少patch的可用账号
R04C12,乌镇1352,scnet-wuzhen-1352,acm83pfnji,乌镇1352,scnet-wuzhen-1352,acm83pfnji,logical owner可用
R05C04,乌镇173,scnet-wuzhen-173,acrxpqssp4,乌镇1872,scnet-wuzhen-1872,acjpoxgsdu,logical owner不可用，转移至当前最少patch的可用账号
R05C05,乌镇173,scnet-wuzhen-173,acrxpqssp4,乌镇1555,scnet-wuzhen-1555,ac4wf1cvxp,logical owner不可用，转移至当前最少patch的可用账号
R05C07,乌镇1850,scnet-wuzhen-1850,acf9hhlwmd,乌镇1850,scnet-wuzhen-1850,acf9hhlwmd,logical owner可用
R05C08,乌镇9359,scnet-wuzhen-9359,ac6xcutdaj,乌镇1872,scnet-wuzhen-1872,acjpoxgsdu,logical owner不可用，转移至当前最少patch的可用账号
R05C10,乌镇1850,scnet-wuzhen-1850,acf9hhlwmd,乌镇1850,scnet-wuzhen-1850,acf9hhlwmd,logical owner可用
R05C11,乌镇9259,scnet-wuzhen-9259,acnqt6koeq,乌镇1555,scnet-wuzhen-1555,ac4wf1cvxp,logical owner不可用，转移至当前最少patch的可用账号
R05C12,乌镇151,scnet-wuzhen-151,acw4hq2non,乌镇1352,scnet-wuzhen-1352,acm83pfnji,logical owner不可用，转移至当前最少patch的可用账号
