unit_id,model,scenario,technology,patch_id,submit_account,prepared_script_name,reason
extreme/CANESM5/ssp126/wind/R02C03,CANESM5,ssp126,wind,R02C03,乌镇1872,extp_CANESM5_ssp126_R02C03_wind.sh,incomplete_output
extreme/CANESM5/ssp126/wind/R02C07,CANESM5,ssp126,wind,R02C07,乌镇1850,extp_CANESM5_ssp126_R02C07_wind.sh,incomplete_output
extreme/CANESM5/ssp126/wind/R02C08,CANESM5,ssp126,wind,R02C08,乌镇1555,extp_CANESM5_ssp126_R02C08_wind.sh,incomplete_output
extreme/CANESM5/ssp126/wind/R02C09,CANESM5,ssp126,wind,R02C09,乌镇1850,extp_CANESM5_ssp126_R02C09_wind.sh,incomplete_output
extreme/CANESM5/ssp126/solar/R02C03,CANESM5,ssp126,solar,R02C03,乌镇1872,extp_CANESM5_ssp126_R02C03_solar.sh,incomplete_output
extreme/CANESM5/ssp126/solar/R02C07,CANESM5,ssp126,solar,R02C07,乌镇1850,extp_CANESM5_ssp126_R02C07_solar.sh,incomplete_output
extreme/CANESM5/ssp126/solar/R02C08,CANESM5,ssp126,solar,R02C08,乌镇1555,extp_CANESM5_ssp126_R02C08_solar.sh,incomplete_output
extreme/CANESM5/ssp126/solar/R02C09,CANESM5,ssp126,solar,R02C09,乌镇1850,extp_CANESM5_ssp126_R02C09_solar.sh,incomplete_output
extreme/CANESM5/ssp126/solar/R03C08,CANESM5,ssp126,solar,R03C08,乌镇1731,extp_CANESM5_ssp126_R03C08_solar.sh,incomplete_output
extreme/CANESM5/ssp126/solar/R04C05,CANESM5,ssp126,solar,R04C05,乌镇1500,extp_CANESM5_ssp126_R04C05_solar.sh,incomplete_output
extreme/CANESM5/ssp245/wind/R02C03,CANESM5,ssp245,wind,R02C03,乌镇1872,extp_CANESM5_ssp245_R02C03_wind.sh,incomplete_output
extreme/CANESM5/ssp245/wind/R02C08,CANESM5,ssp245,wind,R02C08,乌镇1555,extp_CANESM5_ssp245_R02C08_wind.sh,incomplete_output
