unit_id,stage,model,scenario,technology,patch_id,logical_owner,submit_account,submit_host,submit_username,assignment_version,attempt,dependencies,expected_output,status,prepared_script_name,resource_profile,cpus_per_task,processes
extreme/CANESM5/ssp126/wind/R01C01,extreme,CANESM5,ssp126,wind,R01C01,乌镇9259,乌镇1850,scnet-wuzhen-1850,acf9hhlwmd,1,0,BCSD/CANESM5/ssp126/wind/R01C01,<AGG_ROOT>/outputs/extreme/CANESM5/ssp126/R01C01/wind.nc,not_submitted,extp_CANESM5_ssp126_R01C01_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/CANESM5/ssp126/wind/R01C02,extreme,CANESM5,ssp126,wind,R01C02,乌镇1352,乌镇1352,scnet-wuzhen-1352,acm83pfnji,1,0,BCSD/CANESM5/ssp126/wind/R01C02,<AGG_ROOT>/outputs/extreme/CANESM5/ssp126/R01C02/wind.nc,not_submitted,extp_CANESM5_ssp126_R01C02_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/CANESM5/ssp126/wind/R01C03,extreme,CANESM5,ssp126,wind,R01C03,乌镇1850,乌镇1850,scnet-wuzhen-1850,acf9hhlwmd,1,0,BCSD/CANESM5/ssp126/wind/R01C03,<AGG_ROOT>/outputs/extreme/CANESM5/ssp126/R01C03/wind.nc,not_submitted,extp_CANESM5_ssp126_R01C03_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/CANESM5/ssp126/wind/R01C04,extreme,CANESM5,ssp126,wind,R01C04,乌镇1555,乌镇1555,scnet-wuzhen-1555,ac4wf1cvxp,1,0,BCSD/CANESM5/ssp126/wind/R01C04,<AGG_ROOT>/outputs/extreme/CANESM5/ssp126/R01C04/wind.nc,not_submitted,extp_CANESM5_ssp126_R01C04_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/CANESM5/ssp126/wind/R01C05,extreme,CANESM5,ssp126,wind,R01C05,乌镇1872,乌镇1872,scnet-wuzhen-1872,acjpoxgsdu,1,0,BCSD/CANESM5/ssp126/wind/R01C05,<AGG_ROOT>/outputs/extreme/CANESM5/ssp126/R01C05/wind.nc,not_submitted,extp_CANESM5_ssp126_R01C05_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/CANESM5/ssp126/wind/R01C06,extreme,CANESM5,ssp126,wind,R01C06,乌镇9259,乌镇1731,scnet-wuzhen-1731,ac2k2a2td1,1,0,BCSD/CANESM5/ssp126/wind/R01C06,<AGG_ROOT>/outputs/extreme/CANESM5/ssp126/R01C06/wind.nc,not_submitted,extp_CANESM5_ssp126_R01C06_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/CANESM5/ssp126/wind/R01C07,extreme,CANESM5,ssp126,wind,R01C07,乌镇1500,乌镇1500,scnet-wuzhen-1500,acp6varuz3,1,0,BCSD/CANESM5/ssp126/wind/R01C07,<AGG_ROOT>/outputs/extreme/CANESM5/ssp126/R01C07/wind.nc,not_submitted,extp_CANESM5_ssp126_R01C07_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/CANESM5/ssp126/wind/R01C08,extreme,CANESM5,ssp126,wind,R01C08,乌镇1731,乌镇1731,scnet-wuzhen-1731,ac2k2a2td1,1,0,BCSD/CANESM5/ssp126/wind/R01C08,<AGG_ROOT>/outputs/extreme/CANESM5/ssp126/R01C08/wind.nc,not_submitted,extp_CANESM5_ssp126_R01C08_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/CANESM5/ssp126/wind/R01C09,extreme,CANESM5,ssp126,wind,R01C09,乌镇151,乌镇1872,scnet-wuzhen-1872,acjpoxgsdu,1,0,BCSD/CANESM5/ssp126/wind/R01C09,<AGG_ROOT>/outputs/extreme/CANESM5/ssp126/R01C09/wind.nc,not_submitted,extp_CANESM5_ssp126_R01C09_wind.sh,resource_v3_extreme_multiprocess,16,16
extreme/CANESM5/ssp126/wind/R01C10,extreme,CANESM5,ssp126,wind,R01C10,乌镇1872,乌镇1872,scnet-wuzhen-1872,acjpoxgsdu,1,0,BCSD/CANESM5/ssp126/wind/R01C10,<AGG_ROOT>/outputs/extreme/CANESM5/ssp126/R01C10/wind.nc,not_submitted,extp_CANESM5_ssp126_R01C10_wind.sh,resource_v3_extreme_multiprocess,16,16
