label,host,username,role,notes
乌镇1500,scnet-wuzhen-1500,acp6varuz3,aggregator,只汇总不提交作业
乌镇199,scnet-wuzhen-199,aclym5felp,worker,老账号
乌镇1892,scnet-wuzhen-1892,acmctdumnv,worker,新账号
乌镇1520,scnet-wuzhen-1520,acebblgpte,worker,新账号
乌镇1870,scnet-wuzhen-1870,acjp7am6kd,worker,新账号
乌镇1959,scnet-wuzhen-1959,acxujo26gv,worker,新账号
乌镇1752,scnet-wuzhen-1752,acavkyjhiz,worker,新账号
乌镇1862,scnet-wuzhen-1862,acdnwyi34a,worker,新账号
乌镇1359,scnet-wuzhen-1359,ac8svj4ybp,worker,新账号
乌镇1872,scnet-wuzhen-1872,acjpoxgsdu,worker,新账号
乌镇1850,scnet-wuzhen-1850,acf9hhlwmd,worker,新账号
乌镇1555,scnet-wuzhen-1555,ac4wf1cvxp,worker,新账号
乌镇1352,scnet-wuzhen-1352,acm83pfnji,worker,新账号
乌镇1731,scnet-wuzhen-1731,ac2k2a2td1,worker,新账号
乌镇1866,scnet-wuzhen-1866,aczlvkl1ac,worker,新账号
乌镇1775,scnet-wuzhen-1775,acsep06cn2,worker,新账号
乌镇1311,scnet-wuzhen-1311,acv2o7b0gn,worker,新账号
乌镇1331,scnet-wuzhen-1331,acbzycio4i,worker,新账号
乌镇1863,scnet-wuzhen-1863,ace4cjbrjf,worker,新账号
